model,phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,step,plot_epoch
VGG16+Inception+ViT_v4,Phase A,1,0.4837,0.713,0.5157,0.672,0.263,38,1
VGG16+Inception+ViT_v4,Phase A,2,0.3278,0.795,0.4692,0.689,0.217,39,2
VGG16+Inception+ViT_v4,Phase A,3,0.2879,0.811,0.4617,0.718,0.338,40,3
VGG16+Inception+ViT_v4,Phase A,4,0.2672,0.819,0.5961,0.691,0.251,41,4
VGG16+Inception+ViT_v4,Phase A,5,0.2433,0.838,0.4629,0.69,0.285,42,5
VGG16+Inception+ViT_v4,Phase A,6,0.2235,0.849,0.2919,0.79,0.563,43,6
VGG16+Inception+ViT_v4,Phase A,7,0.211,0.852,0.348,0.758,0.492,44,7
VGG16+Inception+ViT_v4,Phase A,8,0.1931,0.859,0.2767,0.802,0.613,45,8
VGG16+Inception+ViT_v4,Phase A,9,0.18,0.87,0.3093,0.784,0.56,46,9
VGG16+Inception+ViT_v4,Phase A,10,0.1744,0.874,0.247,0.812,0.645,47,10
VGG16+Inception+ViT_v4,Phase A,11,0.1626,0.879,0.3626,0.756,0.514,48,11
VGG16+Inception+ViT_v4,Phase A,12,0.153,0.886,0.3011,0.782,0.547,49,12
VGG16+Inception+ViT_v4,Phase A,13,0.1467,0.895,0.2183,0.826,0.699,50,13
VGG16+Inception+ViT_v4,Phase A,14,0.1271,0.905,0.3141,0.78,0.636,51,14
VGG16+Inception+ViT_v4,Phase A,15,0.1191,0.908,0.253,0.83,0.692,52,15
VGG16+Inception+ViT_v4,Phase A,16,0.1047,0.92,0.2082,0.833,0.743,53,16
VGG16+Inception+ViT_v4,Phase A,17,0.0907,0.932,0.4457,0.76,0.514,54,17
VGG16+Inception+ViT_v4,Phase A,18,0.088,0.937,0.2087,0.854,0.743,55,18
VGG16+Inception+ViT_v4,Phase A,19,0.0756,0.948,0.2845,0.828,0.692,56,19
VGG16+Inception+ViT_v4,Phase A,20,0.0658,0.957,0.2212,0.846,0.725,57,20
VGG16+Inception+ViT_v4,Phase A,21,0.0576,0.963,0.2077,0.846,0.738,58,21
VGG16+Inception+ViT_v4,Phase A,22,0.0523,0.965,0.1948,0.859,0.766,59,22
VGG16+Inception+ViT_v4,Phase A,23,0.0465,0.972,0.2023,0.869,0.77,60,23
VGG16+Inception+ViT_v4,Phase A,24,0.0412,0.974,0.2093,0.862,0.748,61,24
VGG16+Inception+ViT_v4,Phase A,25,0.0386,0.979,0.2043,0.861,0.774,62,25
VGG16+Inception+ViT_v4,Phase A,26,0.0316,0.985,0.2078,0.866,0.764,63,26
VGG16+Inception+ViT_v4,Phase A,27,0.0324,0.985,0.2118,0.866,0.769,64,27
VGG16+Inception+ViT_v4,Phase A,28,0.0313,0.986,0.2084,0.869,0.777,65,28
VGG16+Inception+ViT_v4,Phase A,29,0.0286,0.988,0.2067,0.871,0.775,66,29
VGG16+Inception+ViT_v4,Phase A,30,0.0298,0.987,0.2032,0.87,0.779,67,30
VGG16+Inception+ViT_v4,Phase B,1,0.0304,0.985,0.2112,0.868,0.767,79,31
VGG16+Inception+ViT_v4,Phase B,2,0.0305,0.985,0.2036,0.864,0.766,80,32
VGG16+Inception+ViT_v4,Phase B,3,0.0301,0.987,0.2159,0.867,0.769,81,33
